관서명,자치구,주소,위도,경도,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
서울중부경찰서,중구,서울 중구 회현동1가 210,37.560047101424864,126.97975204159138,2,2,3,2,105,65,"1,395",477,"1,355","1,170"
서울종로경찰서,종로구,서울 종로구 공평동 1,37.57185082446809,126.98417036713045,3,3,6,5,115,98,"1,070",413,"1,278","1,070"
서울남대문경찰서,중구,서울 중구 남대문로5가 561,37.55477683026614,126.97349503706043,1,0,6,4,65,46,"1,153",382,869,794
서울서대문경찰서,서대문구,서울 서대문구 충정로3가 63-1,37.5605682018363,126.962620809226,2,2,5,4,154,124,"1,812",738,"2,056","1,711"
서울혜화경찰서,종로구,서울 종로구 숭인동 165,37.57432087104779,127.01908584271601,3,2,5,4,96,63,"1,114",424,"1,015",861
서울용산경찰서,용산구,서울 용산구 원효로1가 12-12,37.54117933635974,126.96777437089538,5,5,14,14,194,173,"1,557",587,"2,050","1,704"
서울성북경찰서,성북구,서울 성북구 삼선동5가 301,37.58989767143614,127.01625465308534,2,2,2,1,86,71,953,409,"1,194","1,015"
서울동대문경찰서,동대문구,서울 동대문구 청량리동 229,37.5850804205685,127.045762797538,5,5,13,13,173,146,"1,981",814,"2,548","2,227"
서울마포경찰서,마포구,서울 마포구 아현동 618-1,37.550824477077796,126.95400918908302,8,8,14,10,294,247,"2,555",813,"2,983","2,519"
서울영등포경찰서,영등포구,서울 영등포구 당산동3가 2-11,37.52585220719,126.90094457988,14,12,22,20,295,183,"2,964",978,"3,572","2,961"
서울성동경찰서,성동구,서울 성동구 행당동 192-8,37.5617947420747,127.036472076258,4,4,9,8,126,119,"1,607",597,"1,612","1,395"
서울동작경찰서,동작구,서울 동작구 노량진동 72-35,37.5131469479959,126.942857105642,5,5,9,5,285,139,"1,865",661,"1,910","1,587"
서울광진경찰서,광진구,서울 광진구 구의동 254-32,37.54292164557882,127.08396170505674,4,4,14,26,240,220,"3,026","1,277","2,625","2,180"
서울서부경찰서,은평구,서울 은평구 녹번동 177-15,37.60215667958602,126.92131688777927,2,2,2,1,70,59,819,293,"1,192","1,038"
서울강북경찰서,강북구,서울 강북구 번동 415-15,37.637406561393085,127.02733870040592,7,8,14,13,153,126,"1,434",618,"2,649","2,348"
서울금천경찰서,금천구,서울 금천구 시흥동 1030,37.45725314643252,126.89674921449215,3,4,6,6,151,122,"1,567",888,"2,054","1,776"
서울중랑경찰서,중랑구,서울 중랑구 신내동 810,37.6182390801576,127.10454224897,13,12,11,9,187,148,"2,135",829,"2,847","2,407"
서울강남경찰서,강남구,서울 강남구 대치동 998,37.5093899463715,127.067070541137,3,3,15,12,300,225,"2,411",984,"2,465","2,146"
서울관악경찰서,관악구,서울 관악구 봉천동 1695-5,37.4745875338795,126.951062346192,9,8,12,14,320,221,"2,706",827,"3,298","2,642"
서울강서경찰서,강서구,서울 강서구 화곡동 980-27,37.5513470867979,126.849886071842,7,8,13,13,262,191,"2,096","1,260","3,207","2,718"
서울강동경찰서,강동구,서울 강동구 성내동 541-1,37.52867274661258,127.12688982770433,4,3,6,8,156,123,"2,366",789,"2,712","2,248"
서울종암경찰서,성북구,서울 성북구 종암동 3-1260,37.60202348733786,127.0324103972117,3,3,3,3,64,53,832,332,"1,015",840
서울구로경찰서,구로구,서울 구로구 구로동 3-25,37.5070387936593,126.890224925815,8,6,15,11,281,164,"2,335",889,"3,007","2,432"
서울서초경찰서,서초구,서울 서초구 서초동 1726-1,37.49561086789221,127.00528097622329,7,4,8,5,334,193,"1,982",905,"1,852","1,607"
서울양천경찰서,양천구,서울 양천구 신정동 321,37.5165549067037,126.865542970902,3,5,6,3,120,105,"1,890",672,"2,509","2,030"
서울송파경찰서,송파구,서울 송파구 가락동 9,37.5019757297179,127.12716129352492,11,10,13,10,220,178,"3,239","1,129","3,295","2,786"
서울노원경찰서,노원구,서울 노원구 하계동 250,37.6423345266253,127.071404832413,10,10,7,7,197,121,"2,193",801,"2,723","2,329"
서울방배경찰서,서초구,서울 서초구 방배동 455-10,37.48155944749938,126.98300906928465,1,2,1,1,59,56,653,186,547,491
서울은평경찰서,은평구,서울 은평구 불광동 산 24,37.6285242467996,126.928631038584,1,1,7,5,96,82,"1,095",418,"1,461","1,268"
서울도봉경찰서,도봉구,서울 도봉구 창동 17,37.65339041848567,127.05270598499145,3,3,9,10,102,106,"1,063",478,"1,487","1,303"
서울수서경찰서,강남구,서울 강남구 개포동 14,37.4934972653425,127.077143044327,10,7,6,6,149,124,"1,439",666,"1,819","1,559"
